date,token_id,price,trading_volume,trend,post_counts
2024-04-30,floki,0.000170419828506249,128028564.5,4,0
2024-04-30,mog-coin,6.12533845884622e-07,3107207.036,8,0
2024-05-01,shiba-inu,2.2432170719496e-05,679448096.9,3,0
2024-05-01,pepe,6.68201631251466e-06,924148217.0,93,0
2024-05-01,bonk,2.26713407165806e-05,266828177.2,6,0
2024-05-01,floki,0.000156703213267577,138989035.3,5,0
2024-05-01,mog-coin,5.37476395535217e-07,4375433.946,9,0
2024-05-02,shiba-inu,2.26253839386281e-05,850635193.7,3,0
2024-05-02,pepe,7.01773695092391e-06,1140852797.0,79,0
2024-05-02,bonk,2.29979579278107e-05,397323089.6,7,0
2024-05-02,floki,0.00015894088586378,201017504.9,5,0
2024-05-02,mog-coin,5.32984495779783e-07,5884122.131,9,0
2024-05-03,shiba-inu,2.28763159621885e-05,691066631.5,3,5
2024-05-03,pepe,7.56544263642734e-06,1159143252.0,82,5
2024-05-03,bonk,2.53644344971712e-05,403784734.4,7,5
2024-05-03,floki,0.000164248723269683,194827258.8,5,5
2024-05-03,mog-coin,5.71969129332274e-07,3685609.961,9,5
2024-05-04,shiba-inu,2.44489982071998e-05,625553417.8,3,2
2024-05-04,pepe,8.09996082739634e-06,1105091520.0,100,2
2024-05-04,bonk,2.7181280610577e-05,415018737.1,7,2
2024-05-04,floki,0.00017462287177695,181102382.1,6,2
2024-05-04,mog-coin,5.86946171440335e-07,3920163.87,10,2
2024-05-05,shiba-inu,2.50373049837013e-05,694441819.4,3,0
2024-05-05,pepe,8.66190393622805e-06,1087692388.0,78,0
2024-05-05,bonk,2.75320710860715e-05,353134268.0,6,0
2024-05-05,floki,0.000192258050824313,349094217.9,6,0
2024-05-05,mog-coin,5.90963197519036e-07,3322071.357,10,0
2024-05-06,shiba-inu,2.46982461739766e-05,384490337.3,3,0
2024-05-06,pepe,8.49430978202031e-06,697817314.9,71,0
2024-05-06,bonk,2.63879752419456e-05,209498158.9,6,0
2024-05-06,floki,0.000187718941816338,173790476.2,4,0
2024-05-06,mog-coin,5.61402583782495e-07,3025570.966,8,0
2024-05-07,shiba-inu,2.38727946865865e-05,631854890.8,2,1
2024-05-07,pepe,8.33651481678871e-06,966401309.7,65,1
2024-05-07,bonk,2.49425933424376e-05,293167312.2,7,1
2024-05-07,floki,0.000179157519848386,222695413.2,5,1
2024-05-07,mog-coin,5.25906111925224e-07,3741222.854,9,1
2024-05-08,shiba-inu,2.30391002835507e-05,407730587.0,2,1
2024-05-08,pepe,7.94466678943756e-06,692781426.1,67,1
2024-05-08,bonk,2.38022306889425e-05,167291566.8,6,1
2024-05-08,floki,0.000172236560360916,130777525.2,4,1
2024-05-08,mog-coin,4.69170016022956e-07,4635647.544,9,1
2024-05-09,shiba-inu,2.25702101968098e-05,448154306.8,2,0
2024-05-09,pepe,7.98742699566289e-06,683465288.6,64,0
2024-05-09,bonk,2.34931362573802e-05,153407640.7,6,0
2024-05-09,floki,0.000170351733931596,148840920.5,4,0
2024-05-09,mog-coin,4.56338680813909e-07,3004060.106,9,0
2024-05-10,shiba-inu,2.35156552288965e-05,370248743.4,2,0
2024-05-10,pepe,8.54970140951509e-06,891532744.2,71,0
2024-05-10,bonk,2.46116285238396e-05,194971626.5,6,0
2024-05-10,floki,0.000179756514701184,180677586.7,5,0
2024-05-10,mog-coin,4.80901771510605e-07,4970863.125,9,0
2024-05-11,shiba-inu,2.24298091462401e-05,458972266.0,2,0
2024-05-11,pepe,8.41597234866276e-06,753174399.2,76,0
2024-05-11,bonk,2.29065386345259e-05,220490574.3,5,0
2024-05-11,floki,0.000168833299918358,149996518.2,4,0
2024-05-11,mog-coin,4.44079445424639e-07,3053071.663,10,0
2024-05-12,shiba-inu,2.24796801617891e-05,212343582.9,2,0
2024-05-12,pepe,8.47529126018586e-06,616726309.6,82,0
2024-05-12,bonk,2.28600764701472e-05,109287266.7,5,0
2024-05-12,floki,0.000169414810688728,96077629.37,5,0
2024-05-12,mog-coin,4.52454104797351e-07,3214883.829,9,0
